Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,AU Rashid,AU Rashid8,LE Plunkett,LE Plunkett9,MA Wood,MA Wood10,JT Ball,JT Ball11
lost,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,AU Rashid,AU Rashid8,LE Plunkett,LE Plunkett9,MA Wood,MA Wood10,JT Ball,JT Ball11
won,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,AU Rashid,AU Rashid8,CR Woakes,CR Woakes9,DJ Willey,DJ Willey10,LE Plunkett,LE Plunkett11
won,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LE Plunkett,LE Plunkett9,DJ Willey,DJ Willey10,AU Rashid,AU Rashid11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,SW Billings,SW Billings6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,JT Ball,JT Ball11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,SW Billings,SW Billings6,MM Ali,MM Ali7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,JT Ball,JT Ball11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,TK Curran,TK Curran10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,AU Rashid,AU Rashid8,DJ Willey,DJ Willey9,TK Curran,TK Curran10,JT Ball,JT Ball11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,DJ Willey,DJ Willey9,TK Curran,TK Curran10,AU Rashid,AU Rashid11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,DJ Willey,DJ Willey9,TK Curran,TK Curran10,AU Rashid,AU Rashid11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,TK Curran,TK Curran10,MA Wood,MA Wood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,TK Curran,TK Curran10,MA Wood,MA Wood11
won,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,TK Curran,TK Curran10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,JC Buttler,JC Buttler5,SW Billings,SW Billings6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,MM Ali,MM Ali6,JE Root,JE Root7,DJ Willey,DJ Willey8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,C Overton,C Overton9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,SM Curran,SM Curran8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,JT Ball,JT Ball11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LA Dawson,LA Dawson9,AU Rashid,AU Rashid10,OP Stone,OP Stone11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,OP Stone,OP Stone11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,OP Stone,OP Stone11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,JC Buttler,JC Buttler4,BA Stokes,BA Stokes5,MM Ali,MM Ali6,SM Curran,SM Curran7,AU Rashid,AU Rashid8,LE Plunkett,LE Plunkett9,TK Curran,TK Curran10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
lost,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,DJ Malan,DJ Malan2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JL Denly,JL Denly5,BT Foakes,BT Foakes6,DJ Willey,DJ Willey7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,JC Archer,JC Archer11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,CR Woakes,CR Woakes10,LE Plunkett,LE Plunkett11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,BA Stokes,BA Stokes4,MM Ali,MM Ali5,EJG Morgan,EJG Morgan6,JL Denly,JL Denly7,TK Curran,TK Curran8,CR Woakes,CR Woakes9,DJ Willey,DJ Willey10,LE Plunkett,LE Plunkett11
won,JJ Roy,JJ Roy1,JM Vince,JM Vince2,JE Root,JE Root3,BA Stokes,BA Stokes4,JC Buttler,JC Buttler5,MM Ali,MM Ali6,JL Denly,JL Denly7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,DJ Willey,DJ Willey9,TK Curran,TK Curran10,AU Rashid,AU Rashid11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LE Plunkett,LE Plunkett9,JC Archer,JC Archer10,AU Rashid,AU Rashid11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,BA Stokes,BA Stokes6,CR Woakes,CR Woakes7,LE Plunkett,LE Plunkett8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JM Bairstow,JM Bairstow1,JE Root,JE Root2,CR Woakes,CR Woakes3,BA Stokes,BA Stokes4,JJ Roy,JJ Roy5,EJG Morgan,EJG Morgan6,JC Buttler,JC Buttler7,LE Plunkett,LE Plunkett8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
lost,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
lost,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,CR Woakes,CR Woakes7,MM Ali,MM Ali8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,CR Woakes,CR Woakes7,LE Plunkett,LE Plunkett8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,BA Stokes,BA Stokes6,CR Woakes,CR Woakes7,LE Plunkett,LE Plunkett8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,CR Woakes,CR Woakes7,LE Plunkett,LE Plunkett8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JL Denly,JL Denly5,T Banton,T Banton6,SM Curran,SM Curran7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,CJ Jordan,CJ Jordan10,MW Parkinson,MW Parkinson11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JL Denly,JL Denly5,T Banton,T Banton6,MM Ali,MM Ali7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,CJ Jordan,CJ Jordan10,S Mahmood,S Mahmood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JM Vince,JM Vince3,T Banton,T Banton4,SW Billings,SW Billings5,EJG Morgan,EJG Morgan6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,TK Curran,TK Curran10,S Mahmood,S Mahmood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JM Vince,JM Vince3,T Banton,T Banton4,SW Billings,SW Billings5,EJG Morgan,EJG Morgan6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,RJW Topley,RJW Topley10,S Mahmood,S Mahmood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JM Vince,JM Vince3,EJG Morgan,EJG Morgan4,T Banton,T Banton5,SW Billings,SW Billings6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,S Mahmood,S Mahmood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,SW Billings,SW Billings6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,SW Billings,SW Billings6,CR Woakes,CR Woakes7,SM Curran,SM Curran8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,JC Archer,JC Archer11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,SW Billings,SW Billings6,CR Woakes,CR Woakes7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
