p1,o1,s1,w1,e1,p2,o2,s2,w2,e2,p3,o3,s3,w3,e3,p4,o4,s4,w4,e4,p5,o5,s5,w5,e5,p6,o6,s6,w6,e6,p7,o7,s7,w7,e7,p8,o8,s8,w8,e8
T Panyangara,10,73,1,7.3,TL Chatara,10,71,1,7.1,SF Mire,6,61,0,10.16666667,E Chigumbura,4,30,1,7.5,SC Williams,8,44,0,5.5,TP Kamungozi,8,34,1,4.25,Sikandar Raza,3,19,0,6.333333333,H Masakadza,1,6,0,6
T Panyangara,9,82,1,9.111111111,TL Chatara,9.4,74,0,7.872340426,SC Williams,5,48,0,9.6,E Chigumbura,7,44,0,6.285714286,Sikandar Raza,10,45,0,4.5,TP Kamungozi,3,37,0,12.33333333,H Masakadza,6.2,39,1,6.290322581,-,,,,
T Panyangara,10,49,0,4.9,TL Chatara,10,35,3,3.5,T Mupariwa,8,36,1,4.5,SC Williams,10,48,2,4.8,H Masakadza,3,14,0,4.666666667,E Chigumbura,1,7,0,7,Sikandar Raza,7,34,1,4.857142857,SF Mire,1,9,0,9
T Panyangara,9,69,1,7.666666667,TL Chatara,10,61,3,6.1,T Mupariwa,10,56,0,5.6,Sikandar Raza,9,51,0,5.666666667,SC Williams,9,72,3,8,H Masakadza,3,18,0,6,-,,,,,-,,,,
T Panyangara,8.4,53,2,6.30952381,TL Chatara,10,59,0,5.9,T Mupariwa,10,61,0,6.1,SF Mire,5,29,0,5.8,SC Williams,5,31,0,6.2,Sikandar Raza,8,37,1,4.625,H Masakadza,2,15,0,7.5,-,,,,
T Panyangara,10,75,1,7.5,BV Vitori,10,77,0,7.7,CB Mpofu,10,70,0,7,SC Williams,5,42,0,8.4,P Utseya,10,63,2,6.3,Sikandar Raza,5,43,0,8.6,-,,,,,-,,,,
T Panyangara,8.2,42,0,5.12195122,T Mupariwa,7,48,1,6.857142857,BV Vitori,8,52,0,6.5,CJ Chibhabha,2,10,1,5,AG Cremer,10,52,2,5.2,SC Williams,10,53,0,5.3,H Masakadza,1,5,0,5,Sikandar Raza,1,5,0,5
T Panyangara,9.2,53,0,5.760869565,BV Vitori,9,63,1,7,DT Tiripano,8.4,48,2,5.714285714,CJ Chibhabha,10,25,2,2.5,AG Cremer,10,47,0,4.7,AG Cremer,10,47,0,4.7,-,,,,,-,,,,
BV Vitori,8,47,1,5.875,DT Tiripano,9,42,1,4.666666667,N Madziva,10,49,4,4.9,SC Williams,5,23,0,4.6,AG Cremer,5,32,0,6.4,CJ Chibhabha,5,27,1,5.4,H Masakadza,4,26,0,6.5,Sikandar Raza,4,25,1,6.25
DT Tiripano,8,46,0,5.75,N Madziva,9,59,2,6.555555556,N Madziva,9,59,2,6.555555556,CJ Chibhabha,8,55,1,6.875,H Masakadza,10,31,1,3.1,P Utseya,10,41,1,4.1,AG Cremer,5,42,0,8.4,-,,,,
CB Mpofu,10,84,0,8.4,T Panyangara,10,50,2,5,CJ Chibhabha,7,32,1,4.571428571,P Utseya,7,43,0,6.142857143,AG Cremer,10,48,0,4.8,SC Williams,4,27,0,6.75,Sikandar Raza,2,15,0,7.5,-,,,,
CB Mpofu,7,37,0,5.285714286,T Panyangara,6,30,0,5,T Panyangara,6,30,0,5,SC Williams,5.2,36,0,6.923076923,AG Cremer,10,60,0,6,P Utseya,10,46,0,4.6,Sikandar Raza,2,17,0,8.5,H Masakadza,2,9,0,4.5
T Panyangara,9,53,0,5.888888889,N Madziva,6,41,0,6.833333333,J Nyumbu,10,52,2,5.2,CJ Chibhabha,4,20,0,5,AG Cremer,10,44,3,4.4,Sikandar Raza,4,19,0,4.75,SC Williams,7,43,1,6.142857143,-,,,,
T Panyangara,9,66,1,7.333333333,LM Jongwe,9,42,1,4.666666667,CJ Chibhabha,8,25,0,3.125,AG Cremer,6,45,1,7.5,SC Williams,9,35,0,3.888888889,J Nyumbu,9,39,1,4.333333333,-,,,,,-,,,,
T Panyangara,9,44,2,4.888888889,LM Jongwe,8,41,1,5.125,SC Williams,10,33,0,3.3,CJ Chibhabha,8,55,1,6.875,AG Cremer,1.4,8,1,5.714285714,J Nyumbu,6.2,38,0,6.129032258,E Chigumbura,5,33,1,6.6,-,,,,
T Panyangara,7,22,1,3.142857143,LM Jongwe,7,42,0,6,SC Williams,10,29,1,2.9,J Nyumbu,4,33,1,8.25,CT Mutombodzi,3,21,0,7,MN Waller,2,11,0,5.5,Sikandar Raza,1,2,0,2,-,,,,
T Panyangara,7,25,1,3.571428571,LM Jongwe,7,45,1,6.428571429,CJ Chibhabha,7,19,1,2.714285714,J Nyumbu,10,35,2,3.5,WP Masakadza,10,45,2,4.5,SC Williams,9,45,1,5,-,,,,,-,,,,
T Panyangara,8,40,1,5,LM Jongwe,8,43,1,5.375,CJ Chibhabha,3,13,0,4.333333333,J Nyumbu,8,39,0,4.875,Sikandar Raza,10,49,3,4.9,SC Williams,4,24,0,6,WP Masakadza,9,50,0,5.555555556,-,,,,
T Muzarabani,9.5,43,2,4.526315789,LM Jongwe,9,35,1,3.888888889,WP Masakadza,8,31,2,3.875,J Nyumbu,9,37,0,4.111111111,CT Mutombodzi,10,33,2,3.3,CJ Chibhabha,1,8,0,8,-,,,,,-,,,,
T Panyangara,7,32,0,4.571428571,LM Jongwe,7,16,3,2.285714286,CJ Chibhabha,5,17,0,3.4,WP Masakadza,6.1,21,4,3.442622951,J Nyumbu,4,19,0,4.75,TS Chisoro,5,16,3,3.2,-,,,,,-,,,,
T Panyangara,8,43,2,5.375,LM Jongwe,8,53,0,6.625,CJ Chibhabha,2,11,0,5.5,WP Masakadza,10,46,1,4.6,TS Chisoro,10,41,1,4.1,J Nyumbu,4,32,0,8,Sikandar Raza,1,3,0,3,CT Mutombodzi,7,40,2,5.714285714
T Panyangara,7,21,1,3,LM Jongwe,3,18,1,6,WP Masakadza,10,48,1,4.8,TS Chisoro,10,40,2,4,SC Williams,10,52,2,5.2,Sikandar Raza,7,25,0,3.571428571,CT Mutombodzi,3,15,0,5,-,,,,
T Panyangara,8,29,0,3.625,LM Jongwe,5,17,1,3.4,WP Masakadza,10,42,1,4.2,SC Williams,8.4,31,2,3.69047619,CT Mutombodzi,5,26,0,5.2,TS Chisoro,10,38,3,3.8,-,,,,,-,,,,
LM Jongwe,7,44,1,6.285714286,CJ Chibhabha,6,27,0,4.5,T Panyangara,8,45,1,5.625,WP Masakadza,9,31,3,3.444444444,TS Chisoro,5,20,0,4,SC Williams,4,19,0,4.75,Sikandar Raza,10,40,3,4,CT Mutombodzi,1,14,0,14
T Panyangara,10,38,1,3.8,LM Jongwe,8,45,1,5.625,T Muzarabani,10,64,2,6.4,AG Cremer,10,45,0,4.5,SC Williams,5,32,0,6.4,Sikandar Raza,7,47,2,6.714285714,-,,,,,-,,,,
T Panyangara,10,41,3,4.1,LM Jongwe,8,47,1,5.875,T Muzarabani,9,32,2,3.555555556,Sikandar Raza,7,33,0,4.714285714,AG Cremer,10,41,2,4.1,SC Williams,6,37,1,6.166666667,-,,,,,-,,,,
T Panyangara,10,49,1,4.9,T Muzarabani,4,21,0,5.25,LM Jongwe,9,50,2,5.555555556,E Chigumbura,6,29,0,4.833333333,Sikandar Raza,8,48,1,6,AG Cremer,10,53,2,5.3,MN Waller,3,24,1,8,-,,,,
LM Jongwe,2,12,0,6,T Muzarabani,5,34,1,6.8,WP Masakadza,7,20,1,2.857142857,AG Cremer,9.5,20,5,2.105263158,Sikandar Raza,10,25,1,2.5,CJ Chibhabha,5,15,1,3,-,,,,,-,,,,
LM Jongwe,6.4,36,0,5.625,T Muzarabani,7,37,0,5.285714286,WP Masakadza,9,42,0,4.666666667,H Masakadza,2,14,0,7,AG Cremer,9,49,1,5.444444444,Sikandar Raza,7,37,1,5.285714286,E Chigumbura,7,32,3,4.571428571,-,,,,
N Madziva,6,27,3,4.5,TS Chisoro,4,18,2,4.5,LM Jongwe,5.1,6,5,1.176470588,AG Cremer,1,6,0,6,-,,,,,-,,,,,-,,,,,-,,,,
N Madziva,6,22,2,3.666666667,TS Chisoro,7,23,0,3.285714286,LM Jongwe,6,22,2,3.666666667,AG Cremer,10,38,2,3.8,Sikandar Raza,6,26,0,4.333333333,CJ Chibhabha,10,25,4,2.5,-,,,,,-,,,,
N Madziva,8.4,61,2,7.261904762,TS Chisoro,10,51,0,5.1,LM Jongwe,8,50,3,6.25,CJ Chibhabha,2,9,0,4.5,H Masakadza,1,6,0,6,Sikandar Raza,10,37,2,3.7,AG Cremer,10,31,1,3.1,-,,,,
TL Chatara,7,20,1,2.857142857,T Muzarabani,6,18,0,3,CJ Chibhabha,8,14,0,1.75,AG Cremer,10,47,0,4.7,E Chigumbura,4,34,0,8.5,Sikandar Raza,5,20,0,4,H Masakadza,2.3,19,0,8.260869565,-,,,,
TL Chatara,8,40,0,5,T Muzarabani,3,13,0,4.333333333,CJ Chibhabha,9,31,1,3.444444444,AG Cremer,3,17,0,5.666666667,E Chigumbura,2,20,0,10,Sikandar Raza,1.5,7,1,4.666666667,-,,,,,-,,,,
DT Tiripano,5,15,0,3,N Madziva,5,25,0,5,T Mupariwa,6,43,0,7.166666667,AG Cremer,4,26,0,6.5,CJ Chibhabha,1.5,15,0,10,-,,,,,-,,,,,-,,,,
T Panyangara,7.3,37,1,5.068493151,CT Mumba,4,31,0,7.75,DT Tiripano,3,17,0,5.666666667,CJ Chibhabha,2,18,1,9,Sikandar Raza,3,25,0,8.333333333,AG Cremer,5,25,0,5,-,,,,,-,,,,
TS Chisoro,6,23,2,3.833333333,Sikandar Raza,6,26,0,4.333333333,SC Williams,7,18,2,2.571428571,AG Cremer,5.3,28,0,5.283018868,CB Mpofu,3,24,0,8,-,,,,,-,,,,,-,,,,
BV Vitori,9,52,3,5.777777778,DT Tiripano,2,14,0,7,TS Chisoro,8,31,0,3.875,AG Cremer,10,32,1,3.2,SC Williams,6,22,0,3.666666667,Sikandar Raza,2.3,13,0,5.652173913,-,,,,,-,,,,
TL Chatara,6.2,17,2,2.741935484,R Ngarava,7,39,1,5.571428571,CB Mpofu,10,45,2,4.5,SF Mire,6,29,0,4.833333333,AG Cremer,10,46,3,4.6,Sikandar Raza,10,37,1,3.7,-,,,,,-,,,,
TL Chatara,10,36,3,3.6,R Ngarava,10,43,2,4.3,CB Mpofu,9,51,1,5.666666667,AG Cremer,10,37,2,3.7,SF Mire,6,37,0,6.166666667,MN Waller,5,28,0,5.6,-,,,,,-,,,,
TL Chatara,10,30,3,3,R Ngarava,5,37,1,7.4,SC Williams,5.3,15,3,2.830188679,AG Cremer,4,18,0,4.5,CB Mpofu,5,24,3,4.8,-,,,,,-,,,,,-,,,,
TL Chatara,9,32,2,3.555555556,R Ngarava,7,22,1,3.142857143,CB Mpofu,7.5,25,3,3.333333333,AG Cremer,8,12,2,1.5,SC Williams,4,10,0,2.5,SF Mire,3,9,1,3,-,,,,,-,,,,
TL Chatara,9,71,0,7.888888889,R Ngarava,7,37,2,5.285714286,CB Mpofu,9,46,3,5.111111111,AG Cremer,10,40,1,4,SC Williams,10,34,1,3.4,SF Mire,5,22,0,4.4,-,,,,,-,,,,
TL Chatara,9,49,2,5.444444444,DT Tiripano,6,45,0,7.5,SC Williams,9,57,1,6.333333333,AG Cremer,10,57,1,5.7,SF Mire,7,47,1,6.714285714,Sikandar Raza,9,58,0,6.444444444,-,,,,,-,,,,
TL Chatara,5,33,2,6.6,Sikandar Raza,10,34,0,3.4,DT Tiripano,1,6,0,6,AG Cremer,9.1,46,1,5.054945055,SC Williams,3,20,0,6.666666667,RP Burl ,2,15,0,7.5,-,,,,,-,,,,
CT Mumba,6.2,36,0,5.806451613,TL Chatara,6,47,0,7.833333333,Sikandar Raza,10,55,0,5.5,AG Cremer,7,54,0,7.714285714,SC Williams,8,63,1,7.875,MN Waller,8,32,1,4,SF Mire,2,19,0,9.5,-,,,,
CB Mpofu,9,61,2,6.777777778,TL Chatara,5,32,1,6.4,Sikandar Raza,9,56,1,6.222222222,SC Williams,5,37,0,7.4,SF Mire,3,21,0,7,AG Cremer,9,47,0,5.222222222,MN Waller,10,44,2,4.4,-,,,,
Sikandar Raza,10,21,3,2.1,TL Chatara,9,50,1,5.555555556,AG Cremer,10,23,2,2.3,CB Mpofu,6,36,0,6,SC Williams,10,41,1,4.1,MN Waller,5,21,1,4.2,-,,,,,-,,,,
KM Jarvis,4,15,0,3.75,TL Chatara,3,26,0,8.666666667,Sikandar Raza,10,53,2,5.3,B Muzarabani,4,31,0,7.75,AG Cremer,7.3,46,0,6.301369863,-,,,,,-,,,,,-,,,,
Sikandar Raza,10,54,1,5.4,KM Jarvis,8,56,2,7,TL Chatara,8.1,33,4,4.074074074,B Muzarabani,9,47,1,5.222222222,AG Cremer,10,62,2,6.2,MN Waller,3,19,0,6.333333333,-,,,,,-,,,,
KM Jarvis,9,34,1,3.777777778,TL Chatara,9.5,40,1,4.210526316,B Muzarabani,10,52,3,5.2,Sikandar Raza,7,44,0,6.285714286,AG Cremer,9,29,0,3.222222222,-,,,,,-,,,,,-,,,,
KM Jarvis,9,42,3,4.666666667,TL Chatara,7,33,1,4.714285714,B Muzarabani,7,36,0,5.142857143,Sikandar Raza,10,39,1,3.9,AG Cremer,10,32,4,3.2,MN Waller,7,32,0,4.571428571,-,,,,,-,,,,
KM Jarvis,9,77,1,8.555555556,BV Vitori,10,67,0,6.7,Sikandar Raza,10,58,1,5.8,AG Cremer,10,47,3,4.7,TL Chatara,8,63,0,7.875,RP Burl ,3,18,0,6,-,,,,,-,,,,
BV Vitori,7,39,1,5.571428571,TL Chatara,8,24,3,3,B Muzarabani,8,51,2,6.375,Sikandar Raza,2,17,0,8.5,AG Cremer,5.1,41,4,8.039215686,-,,,,,-,,,,,-,,,,
BV Vitori,2,14,0,7,TL Chatara,5,18,2,3.6,B Muzarabani,6,50,0,8.333333333,AG Cremer,9,49,1,5.444444444,RP Burl ,5.3,26,1,4.905660377,-,,,,,-,,,,,-,,,,
KM Jarvis,3,23,0,7.666666667,TL Chatara,4,27,0,6.75,AG Cremer,8,38,0,4.75,B Muzarabani,4,25,0,6.25,RP Burl ,2.1,20,0,9.523809524,-,,,,,-,,,,,-,,,,
TL Chatara,9,42,2,4.666666667,B Muzarabani,10,44,2,4.4,AG Cremer,10,42,1,4.2,TS Chisoro,9,55,1,6.111111111,Sikandar Raza,10,41,2,4.1,TK Musakanda,2,11,0,5.5,-,,,,,-,,,,
TL Chatara,10,35,1,3.5,BV Vitori,9.3,31,2,3.333333333,B Muzarabani,10,47,4,4.7,AG Cremer,10,40,0,4,Sikandar Raza,10,40,3,4,-,,,,,-,,,,,-,,,,
KM Jarvis,5,20,1,4,TS Chisoro,7,22,3,3.142857143,B Muzarabani,4,15,0,3.75,SC Williams,6,17,1,2.833333333,AG Cremer,8.2,18,3,2.195121951,Sikandar Raza,4,11,1,2.75,-,,,,,-,,,,
KM Jarvis,9,49,0,5.444444444,Sikandar Raza,7,58,1,8.285714286,B Muzarabani,9,36,2,4,AG Cremer,10,63,2,6.3,TS Chisoro,7,38,0,5.428571429,SC Williams,7,45,1,6.428571429,-,,,,,-,,,,
TL Chatara,10,49,2,4.9,B Muzarabani,10,56,1,5.6,DT Tiripano,10,66,2,6.6,CJ Chibhabha,3,22,0,7.333333333,LN Roche,7,54,1,7.714285714,WP Masakadza,10,56,1,5.6,-,,,,,-,,,,
TL Chatara,6,34,0,5.666666667,B Muzarabani,7,28,0,4,DT Tiripano,7,33,0,4.714285714,LN Roche,6,38,0,6.333333333,WP Masakadza,10,61,0,6.1,-,,,,,-,,,,,-,,,,
B Muzarabani,5,43,1,8.6,R Ngarava,4.5,26,0,5.777777778,-,,,,,-,,,,,-,,,,,-,,,,,-,,,,,-,,,,
B Muzarabani,10,77,0,7.7,R Ngarava,7,65,0,9.285714286,DT Tiripano,10,85,0,8.5,TS Chisoro,10,56,0,5.6,WP Masakadza,10,78,1,7.8,H Masakadza,3,29,0,9.666666667,-,,,,,-,,,,
CB Mpofu,10,67,1,6.7,TL Chatara,10,79,1,7.9,DT Tiripano,7,67,0,9.571428571,LN Roche,10,65,1,6.5,WP Masakadza,10,66,1,6.6,PS Masvaure,3,19,0,6.333333333,-,,,,,-,,,,
KM Jarvis,7,36,0,5.142857143,TL Chatara,6,12,2,2,WP Masakadza,5,26,2,5.2,B Mavuta,4,24,1,6,SC Williams,4.1,19,0,4.634146341,-,,,,,-,,,,,-,,,,
KM Jarvis,10,26,2,2.6,TL Chatara,9,42,3,4.666666667,DT Tiripano,8.3,37,2,4.457831325,B Mavuta,10,48,2,4.8,SC Williams,10,43,1,4.3,-,,,,,-,,,,,-,,,,
KM Jarvis,9,40,1,4.444444444,TL Chatara,7.5,58,1,7.733333333,DT Tiripano,9,35,2,3.888888889,B Mavuta,10,44,1,4.4,SC Williams,10,54,1,5.4,-,,,,,-,,,,,-,,,,
KM Jarvis,9,37,4,4.111111111,TL Chatara,10,55,3,5.5,DT Tiripano,10,60,0,6,B Mavuta,8,48,1,6,Sikandar Raza,6,37,0,6.166666667,SC Williams,7,32,0,4.571428571,-,,,,,-,,,,
KM Jarvis,9,31,0,3.444444444,TL Chatara,7,48,0,6.857142857,DT Tiripano,5,22,0,4.4,B Mavuta,7,56,0,8,SC Williams,6,43,0,7.166666667,Sikandar Raza,10,43,3,4.3,Cephas Zhuwao,0.1,6,0,60,-,,,,
KM Jarvis,6,47,1,7.833333333,R Ngarava,5,44,0,8.8,DT Tiripano,4,33,0,8.25,Sikandar Raza,10,47,0,4.7,WP Masakadza,10,71,1,7.1,SC Williams,6.1,43,0,7.049180328,H Masakadza,1,3,1,3,-,,,,
KM Jarvis,9.3,43,2,4.623655914,TL Chatara,9,36,3,4,DT Tiripano,10,53,0,5.3,SC Williams,10,66,0,6.6,RP Burl ,4,27,0,6.75,Sikandar Raza,6,32,0,5.333333333,-,,,,,-,,,,
KM Jarvis,8,29,1,3.625,TL Chatara,7,33,0,4.714285714,DT Tiripano,7,36,0,5.142857143,SC Williams,8,43,2,5.375,RP Burl ,4,27,0,6.75,SF Mire,8,43,4,5.375,Sikandar Raza,8,28,2,3.5,-,,,,
KM Jarvis,8,29,0,3.625,TL Chatara,9.2,32,1,3.47826087,CB Mpofu,7,38,0,5.428571429,SC Williams,4,14,1,3.5,SF Mire,4,22,1,5.5,Sikandar Raza,2,14,0,7,H Masakadza,3,14,0,4.666666667,RP Burl ,4,21,1,5.25
CB Mpofu,10,68,2,6.8,CT Mumba,8,45,1,5.625,W Madhevere,8,48,1,6,DT Tiripano,7,56,1,8,Sikandar Raza,10,56,0,5.6,CT Mutombodzi,7,47,1,6.714285714,-,,,,,-,,,,
CT Mumba,10,64,2,6.4,CK Tshuma,5,35,1,7,DT Tiripano,8,55,2,6.875,W Madhevere,7,38,1,5.428571429,Sikandar Raza,10,59,0,5.9,SC Williams,7,35,0,5,CT Mutombodzi,3,34,0,11.33333333,-,,,,
CT Mumba,8,69,3,8.625,CK Tshuma,6,48,0,8,Sikandar Raza,7,64,0,9.142857143,W Madhevere,5,29,0,5.8,DT Tiripano,8,65,0,8.125,SC Williams,9,46,0,5.111111111,-,,,,,-,,,,
